“序号”,“大分类”,大分类名称,“小分类”,小分类名称
“08002”,“08”,客户顾虑资费问题,“002”,月费增加类：客户认为办理后每月费用会上涨，不愿接受
“08003”,“08”,客户顾虑资费问题,“003”,质疑收费合理性类：客户对收费标准或必要性存在疑问
“08004”,“08”,客户顾虑资费问题,“004”,优惠不划算类：客户觉得活动优惠力度不足，自己不划算
“0005”,“08”,客户顾虑资费问题,“005”,担心隐形收费类：客户担心存在未明示的隐形收费项目
“08006”,“08”,客户顾虑资费问题,“006”,合约捆绑顾虑类：客户担心办理后会产生合约束缚或强制消费
,,,,
“09001”,“09”,客户信任疑虑,“001”,怀疑诈骗类：客户怀疑电话或短信内容是诈骗行为
“09002”,“09”,客户信任疑虑,“002”,不信任身份类：客户不相信来电客服身份的真实性
“09003”,“09”,客户信任疑虑,“003”,要求线下办理类：客户坚持去营业厅等线下渠道办理以求安心
“09004”,“09”,客户信任疑虑,“004”,索要证明类：客户要求提供书面材料或官方通知以证明活动真实性
“09005”,“09”,客户信任疑虑,“005”,质疑活动可靠性类：客户对该活动或优惠本身的可靠性表示质疑
,,,,
“10001”,“10”,客户不愿变更现有方案,“001”,不换套餐类：客户明确表示不愿更改当前套餐或号码
“10002”,“10”,客户不愿变更现有方案,“002”,影响权益顾虑类：客户担心新业务会影响现有优惠或权益
“10003”,“10”,客户不愿变更现有方案,“003”,嫌办理麻烦类：客户嫌办理过程繁琐，不想折腾
“10004”,“10”,客户不愿变更现有方案,“004”,习惯当前方案类：客户习惯于现有使用方式，不愿做出改变
“10005”,“10”,客户不愿变更现有方案,“005”,观望心理类：客户持观望态度，想等他人体验后再考虑
,,,,
“11001”,“11”,客户反感被打扰,“001”,反感推销类：客户表示反感此类推销电话
“11002”,“11”,客户反感被打扰,“002”,要求停止联系类：客户要求不要再接到类似电话打扰
“11003”,“11”,客户反感被打扰,“003”,威胁投诉类：客户以投诉相威胁要求停止联系
“11004”,“11”,客户反感被打扰,“004”,态度冷淡类：客户对电话沟通表现出不耐烦或冷淡
“11005”,“11”,客户反感被打扰,“005”,情绪激动类：客户因被打扰情绪激动、言语冲动
,,,,
“12001”,“12”,客户中途挂断电话,“001”,未听完挂断类：客户未听完客服的介绍就提前挂断
“12002”,“12”,客户中途挂断电话,“002”,无回应挂断类：通话过程中客户突然无回应可能已挂断
“12003”,“12”,客户中途挂断电话,“003”,拒绝后挂断类：客户明确拒绝后立即挂断电话
“12004”,“12”,客户中途挂断电话,“004”,情绪不佳挂断类：客户因不满或情绪原因中途终止通话
“12005”,“12”,客户中途挂断电话,“005”,回拨未果类：客服尝试回拨但客户不再接听
,,,,
“13001”,“13”,客户不符合办理条件,“001”,不在范围类：客户号码不在此次活动适用范围
“13002”,“13”,客户不符合办理条件,“002”,账户异常类：客户当前账户状态异常暂无法办理
“13003”,“13”,客户不符合办理条件,“003”,权限限制类：客服权限不足或系统限制无法为客户办理
“13004”,“13”,客户不符合办理条件,“004”,信息缺失类：办理所需的关键信息缺失导致无法完成
“13005”,“13”,客户不符合办理条件,“005”,业务冲突类：客户已有冲突业务，无法叠加办理本活动
,,,,
“14001”,“14”,客户暂缓办理,“001”,需要考虑类：客户表示需要考虑一下再决定是否办理
“14002”,“14”,客户暂缓办理,“002”,稍后办理类：客户表示稍后自己会办理该业务
“14003”,“14”,客户暂缓办理,“003”,他人商议类：客户表示需与家人或他人商量后再做决定
“14004”,“14”,客户暂缓办理,“004”,等待通知类：客户倾向等待正式通知或更多信息后再说
“14005”,“14”,客户暂缓办理,“005”,暂不方便类：客户以当前不便为由暂缓办理来源
